,shape_id,route_color,route_short_name
0,SBS601386,EE352E,M60-SBS
1,SBS601390,EE352E,M60-SBS
233,SBS601389,EE352E,M60-SBS
1284,M660016,FAA61A,M66
1285,M660025,FAA61A,M66
1531,M660021,FAA61A,M66
2422,M090021,B933AD,M9
2423,M090022,B933AD,M9
3022,SB14A0057,6CBE45,M14A-SBS
3023,SB14A0058,6CBE45,M14A-SBS
3998,SB14D0316,6CBE45,M14D-SBS
3999,SB14D0313,6CBE45,M14D-SBS
4487,SB14D0309,6CBE45,M14D-SBS
4760,SB14D0317,6CBE45,M14D-SBS
5750,M500012,6CBE45,M50
5751,M500004,6CBE45,M50
6255,M420026,EE352E,M42
6256,M420028,EE352E,M42
6507,M420031,EE352E,M42
6544,M420032,EE352E,M42
6552,M420015,EE352E,M42
7451,M200501,EE352E,M20
7452,M200497,EE352E,M20
7457,M200502,EE352E,M20
7913,M550566,6CBE45,M55
7914,M550570,6CBE45,M55
8525,M120075,006CB7,M12
8526,M120077,006CB7,M12
8843,M220248,00AEEF,M22
8844,M220247,00AEEF,M22
9349,M220249,00AEEF,M22
9350,SBS860058,FAA61A,M86-SBS
9351,SBS860054,FAA61A,M86-SBS
11082,SB790033,EE352E,M79-SBS
11083,SB790031,EE352E,M79-SBS
12520,M340020,006CB7,M34-SBS
12547,M340021,006CB7,M34-SBS
12597,M340018,006CB7,M34-SBS
12660,M340019,006CB7,M34-SBS
13219,M34A0070,006CB7,M34A-SBS
13269,M34A0071,006CB7,M34A-SBS
13299,M34A0063,006CB7,M34A-SBS
13925,SBS230021,B933AD,M23-SBS
13926,SBS230020,B933AD,M23-SBS
15129,M210139,FAA61A,M21
15175,M210130,FAA61A,M21
15258,M210137,FAA61A,M21
15271,M210132,FAA61A,M21
15536,M080031,00AEEF,M8
15537,M080022,00AEEF,M8
16018,M570023,00AEEF,M57
16019,M570027,00AEEF,M57
16020,M570022,00AEEF,M57
16748,M720013,6CBE45,M72
16749,M720014,6CBE45,M72
17409,M1160007,6CBE45,M116
17432,M1160009,6CBE45,M116
18430,M980007,EE352E,M98
18433,M980004,EE352E,M98
18572,M110202,FAA61A,M11
18585,M110200,FAA61A,M11
18590,M110201,FAA61A,M11
18591,M110087,FAA61A,M11
18659,M110189,FAA61A,M11
18797,M110193,FAA61A,M11
19181,M110208,FAA61A,M11
19184,M110207,FAA61A,M11
19185,M110195,FAA61A,M11
19363,M1040169,B933AD,M104
19379,M1040170,B933AD,M104
20509,M100010,006CB7,M10
20510,M100013,006CB7,M10
20526,M100015,006CB7,M10
21282,M020100,B933AD,M2
21284,M020110,B933AD,M2
21294,M020102,B933AD,M2
21306,M020092,B933AD,M2
21361,M020233,B933AD,M2
21393,M020098,B933AD,M2
21398,M020234,B933AD,M2
22169,M030103,B933AD,M3
22170,M030112,B933AD,M3
22176,M030102,B933AD,M3
22200,M030111,B933AD,M3
22250,M030113,B933AD,M3
22276,M030105,B933AD,M3
22285,M030104,B933AD,M3
23090,M040178,00AEEF,M4
23091,M040179,00AEEF,M4
23105,M040186,00AEEF,M4
23132,M040191,00AEEF,M4
23167,M040189,00AEEF,M4
23171,M040188,00AEEF,M4
23180,M040176,00AEEF,M4
23230,M040164,00AEEF,M4
23274,M040181,00AEEF,M4
23319,M040177,00AEEF,M4
23366,M040190,00AEEF,M4
24191,M050060,EE352E,M5
24192,M050070,EE352E,M5
24193,M050062,EE352E,M5
24194,M050073,EE352E,M5
24203,M050064,EE352E,M5
24245,M050071,EE352E,M5
24260,M050046,EE352E,M5
24456,M050072,EE352E,M5
24625,M050075,EE352E,M5
25055,M960093,6CBE45,M96
25056,M960008,6CBE45,M96
26691,M1060008,6CBE45,M106
26692,M1060010,6CBE45,M106
27029,M1250049,B933AD,M125
27045,M1250044,B933AD,M125
28339,SBS150180,006CB7,M15-SBS
28342,SBS150178,006CB7,M15-SBS
28360,SBS150186,006CB7,M15-SBS
28378,SBS150187,006CB7,M15-SBS
29751,M070219,00AEEF,M7
29765,M070220,00AEEF,M7
30681,M010104,EE352E,M1
30691,M010105,EE352E,M1
30710,M010109,EE352E,M1
30718,M010108,EE352E,M1
30889,M010089,EE352E,M1
31046,M010110,EE352E,M1
31613,M350858,FAA61A,M35
31692,M350857,FAA61A,M35
32501,M1010083,FAA61A,M101
32502,M1010106,FAA61A,M101
32503,M1010102,FAA61A,M101
32506,M1010092,FAA61A,M101
32509,M1010048,FAA61A,M101
32510,M1010101,FAA61A,M101
32515,M1010103,FAA61A,M101
32518,M1010107,FAA61A,M101
32542,M1010100,FAA61A,M101
32556,M1010105,FAA61A,M101
32656,M1010104,FAA61A,M101
32752,M1010087,FAA61A,M101
32762,M1010047,FAA61A,M101
32783,M1010084,FAA61A,M101
33897,M1020045,FAA61A,M102
33898,M1020042,FAA61A,M102
33899,M1020032,FAA61A,M102
33910,M1020041,FAA61A,M102
33932,M1020033,FAA61A,M102
33987,M1020039,FAA61A,M102
34926,M1030044,B933AD,M103
34927,M1030036,B933AD,M103
34928,M1030045,B933AD,M103
34968,M1030037,B933AD,M103
35740,M150041,006CB7,M15
35748,M150046,006CB7,M15
35834,M150047,006CB7,M15
35847,M150048,006CB7,M15
36000,M150049,006CB7,M15
36013,M150050,006CB7,M15
36976,M310025,B933AD,M31
36977,M310027,B933AD,M31
36982,M310026,B933AD,M31
