campus_name,violation_type,violations
Borough of Manhattan Community College,MOBILE BUS STOP,0
Borough of Manhattan Community College,MOBILE BUS LANE,0
Borough of Manhattan Community College,MOBILE DOUBLE PARKED,0
Bronx Community College,MOBILE BUS STOP,0
Bronx Community College,MOBILE BUS LANE,0
Bronx Community College,MOBILE DOUBLE PARKED,0
Hostos Community College,MOBILE BUS STOP,631
Hostos Community College,MOBILE BUS LANE,411
Hostos Community College,MOBILE DOUBLE PARKED,187
Kingsborough Community College,MOBILE BUS STOP,0
Kingsborough Community College,MOBILE BUS LANE,0
Kingsborough Community College,MOBILE DOUBLE PARKED,0
LaGuardia Community College,MOBILE BUS STOP,0
LaGuardia Community College,MOBILE BUS LANE,0
LaGuardia Community College,MOBILE DOUBLE PARKED,0
Queensborough Community College,MOBILE BUS STOP,0
Queensborough Community College,MOBILE BUS LANE,0
Queensborough Community College,MOBILE DOUBLE PARKED,0
Guttman Community College,MOBILE BUS STOP,66
Guttman Community College,MOBILE BUS LANE,501
Guttman Community College,MOBILE DOUBLE PARKED,0
Medgar Evers College,MOBILE BUS STOP,0
Medgar Evers College,MOBILE BUS LANE,0
Medgar Evers College,MOBILE DOUBLE PARKED,0
New York City College of Technology,MOBILE BUS STOP,4464
New York City College of Technology,MOBILE BUS LANE,33
New York City College of Technology,MOBILE DOUBLE PARKED,887
College of Staten Island,MOBILE BUS STOP,0
College of Staten Island,MOBILE BUS LANE,0
College of Staten Island,MOBILE DOUBLE PARKED,0
School of Labor and Urban Studies,MOBILE BUS STOP,621
School of Labor and Urban Studies,MOBILE BUS LANE,696
School of Labor and Urban Studies,MOBILE DOUBLE PARKED,8
School of Law,MOBILE BUS STOP,246
School of Law,MOBILE BUS LANE,4
School of Law,MOBILE DOUBLE PARKED,164
The Graduate School and University Center,MOBILE BUS STOP,1793
The Graduate School and University Center,MOBILE BUS LANE,2336
The Graduate School and University Center,MOBILE DOUBLE PARKED,78
School of Professional Studies,MOBILE BUS STOP,0
School of Professional Studies,MOBILE BUS LANE,0
School of Professional Studies,MOBILE DOUBLE PARKED,0
School of Public Health,MOBILE BUS STOP,4498
School of Public Health,MOBILE BUS LANE,14555
School of Public Health,MOBILE DOUBLE PARKED,523
School of Journalism,MOBILE BUS STOP,118
School of Journalism,MOBILE BUS LANE,997
School of Journalism,MOBILE DOUBLE PARKED,6
Macaulay Honors College,MOBILE BUS STOP,0
Macaulay Honors College,MOBILE BUS LANE,0
Macaulay Honors College,MOBILE DOUBLE PARKED,0
Baruch College,MOBILE BUS STOP,3973
Baruch College,MOBILE BUS LANE,2564
Baruch College,MOBILE DOUBLE PARKED,3085
Brooklyn College,MOBILE BUS STOP,0
Brooklyn College,MOBILE BUS LANE,0
Brooklyn College,MOBILE DOUBLE PARKED,0
The City College of New York,MOBILE BUS STOP,5333
The City College of New York,MOBILE BUS LANE,344
The City College of New York,MOBILE DOUBLE PARKED,15234
School of Medicine,MOBILE BUS STOP,2675
School of Medicine,MOBILE BUS LANE,227
School of Medicine,MOBILE DOUBLE PARKED,9986
Hunter College,MOBILE BUS STOP,3592
Hunter College,MOBILE BUS LANE,1808
Hunter College,MOBILE DOUBLE PARKED,315
John Jay College of Criminal Justice,MOBILE BUS STOP,0
John Jay College of Criminal Justice,MOBILE BUS LANE,0
John Jay College of Criminal Justice,MOBILE DOUBLE PARKED,0
Lehman College,MOBILE BUS STOP,2682
Lehman College,MOBILE BUS LANE,1
Lehman College,MOBILE DOUBLE PARKED,3864
Queens College,MOBILE BUS STOP,1609
Queens College,MOBILE BUS LANE,16
Queens College,MOBILE DOUBLE PARKED,310
York College,MOBILE BUS STOP,13298
York College,MOBILE BUS LANE,1005
York College,MOBILE DOUBLE PARKED,2698
